description,category,cluster
"«Криминальным авторитетам», вымогавшим деньги в Сунтарском улусе, вынесли приговор Вынесен приговор по уголовному делу о вымогательстве в Сунтарском улусе, сообщает пресс-служба прокуратуры республики.",society,-1
Сергей Гапликов поощрил 30 человек почетными грамотами Глава Коми подписал указ о награждении жителей региона Почетной грамотой Республики Коми.,society,-1
"Под Киевом автомобиль сбил двоих школьников Дорожно-транспортное происшествие произошло сегодня в Бориспольском районе Киевской области, возле села Старый. По предварительным данным, водитель автомобиля «ДЭУ» совершил наезд на мальчика и девочку, которые переходили дорогу. После этог...",society,-1
Губернатор Ульяновской области отправил в отставку министра строительства В Ульяновской области уволена министр строительства и архитектуры региона Алсу Садретдинова. Под угрозой оказались председатель правительства Александр Смекалин и его первый зам Андрей Тюрин.,society,-1
"Джулиани привез Трампу из Украины «много хорошей информации» Президент США Дональд Трамп заявил 7 декабря, что его личный адвокат вскоре обнародует в Конгрессе доклад по материалам, полученным в ходе поездки в Украину, информирует пресс-служба Белого дома, передает Гордон.",society,-1
"СМИ: встреча Путина и Зеленского запланирована после переговоров ""четверки"" Отдельная двусторонняя встреча президента России Владимира Путина и президента Украины Владимира Зеленского, как ожидается, пройдет 9 декабря после завершения переговоров в ""нормандском формате"". Об этом сообщает ТАСС со ссылкой на источник, близкий к организации саммита в Париже.",society,-1
"Митингующие ночевали в палатках под Офисом президента Участники акции Варта на Банковой ночевали в палатках, разбитых перед зданием Офиса президента. Сейчас к ОПУ приходят новые люди.",society,-1
"В Самаре загорелся мусор в двухэтажке на Чернореченской На место ЧП экстренно прибыли пожарные. Вчера, 8 декабря, в Ленинском районе Самары произошел пожар. На Чернореченской, 8 в нежилом доме загорелся мусор. - На место происшестви...",society,-1
"В открытый доступ в сети Интернет попало Госимущество Дагестана Теперь в республике сведения о государственном и муниципальном имуществе доступны в сети Интернет. Каждый желающий может арендовать или выкупать нужный ему объект на двух специализированных порталах, которые запустили власти региона.",society,-1
В Кремле допускают обмен пленными до конца года Процедура передачи заключенных по формуле всех на всех может произойти ближе к концу декабря.,society,-1
"Как убирают Петербург: выходные прошли, снежная каша на дорогах осталась Выходные, которые принесли с собой снегопад, позади, но под ногами и на дорогах до сих пор снежная грязь. А непогода пока не собирается уходить из Петербурга.",society,-1
«Яблоко» открыло отделение в самом скандальном городе Челябинской области Челябинское региональное отделение партии Яблоко открыло местное отделение в Миассе,society,-1
"Обновленная ""нормандская четверка"" соберется на саммит в Париже Со времен первого саммита поменялась половина состава ""четверки"". А ждут больше всего встречи Владимира Путина с украинским коллегой Владимиром Зеленским.",society,-1
"Зеленский и Путин встретятся после Нормандского саммита Накануне министр иностранных дел заявил, что украинский президент едет в Париж вооруженный определенной информацией",society,-1
"В Пензе увековечили память Героя России Павла Петрачкова В Пензе 9 декабря, в день Героев Отечества, состоялось торжественное открытие мемориальной доски лейтенанту Павлу Петрачкову. В мероприятии приняли участие губернатор Иван Белозерцев, сын и жена погибшего бойца.",society,-1
"Пришли сотни. В Одессе прощаются с погибшим на Троицкой спасателем Шатохиным В Одессе прощаются со спасателем Сергеем Шатохиным, который умер на третий день после пожара в колледже на улице Троицкой.",society,-1
"""ДНР"" приговорила мужчину к 14 годам тюрьмы за ""шпионаж"" в пользу СБУ Местный житель якобы собирал и передавал материалы сотрудникам спецслужбы через интернет.",society,-1
"Радий Хабиров поблагодарил чиновников за работу, «которой нет конца» Сегодня на оперативке в правительстве РБ Радий Хабиров поблагодарил чиновников за «тяжелую»  работу. Речь идет о внесении адресов зданий, строений и земельных участков в Федеральную информационную адресную систему (ФИАС).",society,-1
Шестой регион России сделал 31 декабря выходным днём Глава Карачаево-Черкесии Рашид Темрезов подписал указ о переносе выходного дня с субботы 28 декабря на вторник 31 декабря 2019 года. Об этом он сообщил в своём инстаграме.— Сегодня подписал указ...,society,-1
"В Британии начались слушания по делу «долга Януковича» Верховный суд Великобритании 9 декабря начинает слушания по делу о ""долге Януковича"" перед Россией на 3 млрд долларов США. Об этом сообщается на",society,-1
"«Это не слуги народа, а позор народа»: одесские депутаты возмутились поведением нардепов Несколько депутатов Одесского горсовета резко высказались о поведении народных депутатов и позиции киевской власти в целом после пожара на Троицкой.",society,-1
"Очевидцы: На территории СКК «Петербургский» пожар В Северной столице в понедельник, 9 декабря, произошёл пожар. Об этом сообщили в канале популярного мессенджера ""Аварийный Петербург"".",society,-1
Управление пожарной безопасности опровергло информацию о взрыве газа в Чиланзарском районе столицы В социальных сетях распространилась информация о взрыве газа в Чиланзарском районе столицы. Управление пожарной безопасности Ташкента выступило с офиц...,society,-1
"Большинство опрошенных саратовцев знают о путях передачи ВИЧ Саратовцы знают, какими путями передается ВИЧ-инфекция. Об это свидетельствуют данные опроса информационной службы «Саратов 24».",society,-1
"Омского предпринимателя наказали за неиспользование земель Россельхознадзор по Омской области сообщил о внеплановой выездной проверке в отношении одного из предпринимателей Москаленского района, в отношении которого возникли претензии по части соблюдения требований земельного законодательства. В ведомстве пояснили, проверку провели ради контроля исполнения ранее выданного предписания в ходе предыдущей ревизии.",society,-1
"Житель Пермского края, который изрезал ножом свою бывшую девушку во время беременности и сбросил ее в яму, получил 11 лет колонии Жителя города Кунгур в Пермской области приговорили к 11 годам колонии строгого режима за покушение на убийство беременн...",society,-1
Власти Казани определились с названием строящегося Центра семейного отдыха на Павлюхина Комиссия исполкома по согласованию вопросов размещения герба и флага города дала разрешение на использование слова «Казань» в названии Центра семейного отдыха. Строящийся центр на Павлюхина получит на,society,-1
Пьяная женщина каталась по МКАД в горящей машине Она не реагировала на предупреждающие сигналы.,society,-1
По программе «Стимул» введен в эксплуатацию 21 объект Промежуточные итоги программ стимулирования развития жилищного строительства подвел министр строительства и ЖКХ РФ Владимир Якушев на совещании с регионами.,society,-1
"Названы ТОП-10 предприятий Украины, больше остальных загрязняющих воздух (ВИДЕО) Стало известно, какие предприятия загрязняют воздух в Украине больше всего. Список из 10 таких загрязнителей составило ""Новое время"". Итак, ТОП-10 предприятий с самыми большими выбросами загрязняющих веществ в атмосферу в 2018 году: 1 — Мариупольский МК имени Ильича, Донецкая область, город Мариуполь — 226,6 тысяч тонн. 2 — АрселорМиттал Кривой Рог",society,-1
"Комментарий: Предупреждение Зеленскому перед саммитом в Париже Перед саммитом в ""нормандском формате"" украинцы вышли на Майдан, чтобы напомнить президенту Зеленскому о ""красных линиях"", которые он не должен пересекать на переговорах с Путиным.8 декабря, в канун встречи в Париже ""нормандской четверки"" (лидеров Украины, России, Германии и Франции по урегулированию вооруженного конфликта в Донбассе. - Ред.), около десяти тысяч украинцев собрались на Майдане в Киеве на вече ""Красные линии для Зеленского"". Вечером того же дня у здания администрации президента появились пикеты участников акции ""Движение сопротивления капитуляции"". Организаторы обеих акций заявили, что таким образом они решили поддержать украинского президента перед встречей с Макроном, Меркель и Путиным. Мол, именно Майдан позволит Зеленскому сказать решительное ""нет"" Путину. Хотя, очевидно: многотысячный митинг дает, прежде всего, Владимиру Зеленскому четкое понимание того, чем может закончиться для него саммит в ""нормандском формате"" - Майданом.",society,-1
"На нормандском саммите в Париже обсудят газовые вопросы, в украинскую делегацию вошли Оржель, Витренко, силовики – Офис президента Украины По словам заместителя главы Офиса президента Украины Кирилла Тимошенко, в Париже на нормандском саммите 9 декабря от...",society,-1
Кабмин направил президенту на подпись соглашение о пенсиях в ЕАЭС Правительство представило Президенту России Владимиру Путину проект соглашения о пенсионном обеспечении в странах — членах Евразийского экономического союза (ЕАЭС). Документ размещён на портале правовой информации.,society,-1
"Заказные псевдорасследования позволяют пустослову Навальному роскошно жить в Москве Выяснилось, что скандальный блогер Алексей Навальный получает ежедневно 300 тысяч рублей от зарубежных спонсоров за заказные псевдорасследования. На эти деньги он может себе позволить роскошную жизнь в Москве.",society,-1
"Мосгорсуд снял арест с активов Абызова стоимостью более 1 млрд руб. Отмену наложенного районным судом ареста в Мосгорсуде объяснили процессуальными нарушениями. По словам адвоката экс-министра, арест снят с €13 млн, ценных бумаг, недвижимости и личного счета несоверше",society,-1
"ДТП в Зауралье: погибли девочка и женщина, еще один ребенок пострадал. Возбуждено дело В Курганской области по факту ДТП на трассе Шадринск Дрянново Кривское, в котором погибла женщина и четырехлетняя девочка и пострадала трехлетняя девочка, возбуждено уголовное дело по части 3 статьи 264 УК РФ (Нарушение правил дорожного движения и эксплуатации транспортных средств, повлекшее по неосторожности смерть человека), сообщает ГИБДД региона.По данным Госавтоинспекции, авария произошла 8 декабря в 12:25: 36-летняя жительница Шадринского района, управляя автомобилем Ford, не справилась с управлением съехала в кювет и врезалась в дерево.В результате ДТП на месте аварии погибла четырехлетняя девочка, она находилась на заднем пассажирском сиденье в бустере",society,-1
"16-летний хакер из Актобе через WhatsApp украл собранные на лечение деньги 16-летний хакер из Актобе подозревается в краже с банковского счета 790 тысяч тенге, собранных на лечение тяжелобольного ребенка. Старшеклассник",society,-1
"Гранату обнаружили во время земляных работ на севере Москвы В котловане на севере столицы обнаружена граната, сообщил Агентству городских новостей «Москва» источник в экстренных службах. «Утром 9 декабря на ул. Беломорская во время земляных работ в котловане обнаружен предмет, похожий на гранату», - сказал собеседник агентства. На место вызвали оперативные службы, добавил он.",society,-1
"«ЦДС» отказалась от иска на 20 миллионов к фигурантам дела по «Электронному проездному» «Центральная диспетчерская служба» отказалась от исковых требований на 20 млн рублей к фигурантам дела о хищении средств у «Электронного проездного» в качестве ущерба за программу «Мама, я пришёл», так как этот же ущерб уже учтён в иске «Электронного проездного». Заседание проходит 9 декабря в Первомайском районном суде.",society,-1
"Мужчина, похитивший петербурженку на глазах у ее пятилетней дочери, ранее был судим Мужчина на улице Карпинского в Петербурге, на глазах у пятилетней девочки затолкал в машину ее мать. Женщину держали в отеле и избивали, но ей удалось сбежать.",society,-1
"Жителя Чечни арестовали за видеоролик о ""запретной зоне"" Грозного В Чечне возбуждено уголовное дело в отношении Ислама Нуханова, который опубликовал на сервисе Yotube видеоролик под названием ""Как живут Кадыров и его соратники. Часть I"". На нем в течении пяти минут без комментариев показывают дорогу и стоящие вокруг дома в квартале, где живет руководство республики.",society,-1
В Нальчике BMW сбил насмерть 59-летнюю женщину Пешеход пересекала проезжую часть в неположенном месте,society,-1
В Великом Новгороде пропал мужчина В Великом Новгороде 5 декабря из дома по улице Ломоносова в неизвестном направлении ушел Брагин Роман Сергеевич 1996 года рождения.,society,-1
В аэропорту Запорожья отменили рейсы в Киев из-за непогоды Авиаперевозчики МАУ и SkyUp отменили два рейса в Борисполь.,society,-1
