description,category,cluster
"Выдачи микрозаймов по итогам 2024 года вырастут на 25% с 1 трлн рублей, выданных в 2023 году, прогнозирует «Эксперт РА». Такой результат станет для рынка рекордным. Портфель микрозаймов может увеличиться на 20%, а прибыль МФО по прогнозам агентства может вырасти с рекордных 57 млрд рублей по итогам 2023 года на 39%. @banksta",economy,4
"Выдачи микрозаймов в России по итогам года вырастут на 25%, достигнув 1 трлн рублей, прогнозирует рейтинговое агентство «Эксперт РА». Такой результат станет для рынка рекордным. @bankrollo",economy,4
"В Банке России признались, что рассматривали вариант повышения ключевой ставки до 17% на последнем заседании. Большинство участников дискуссии согласились, что новые проинфляционные сюрпризы требуют ужесточения денежно-кредитных условий. @banksta",economy,5
"В ЦБ признались, что рассматривали вариант повышения ключевой ставки до 17% на последнем заседании. Несмотря на то что ставку сохранили, большинство участников дискуссии согласились, что новые проинфляционные сюрпризы требуют дополнительного ужесточения денежно-кредитной политики. @bankrollo",economy,5
"Сбер продолжает активно развивать технологии ради качественных решений — для этого компания создала два новых технологических блока: «Технологии», который будет работать над развитием и обеспечением бизнеса и Platform V, а также «Технологическое развитие», который будет нацелен на создание новой платформы на базе AI. Первый возглавит один из лучших специалистов на рынке — Кирилл Меньшов из «Ростелекома». Он перейдет в Сбер на должность старшего вице-президента. Главой «Технологического развития» станет старший вице-президент банка Андрей Белевцев. @banksta",technology,6
"Новая стратегия Сбера основана на технологическом лидерстве, для решения этих задач в банке создали два блока — «Технологии» и «Технологическое развитие». Первый займется развитием и обеспечением бизнеса и Платформы (Platform V), а второй — созданием новой Платформы, основанной на AI.. Блок «Технологическое развитие» возглавит старший вице-президент Андрей Белевцев. Блоком «Технологии» будет руководить Кирилл Меньшов в должности старшего вице-президента. В банке отметили, что для реализации амбициозных целей привлекают лучшие кадры. @bankrollo",technology,6
"Стройматериалы резко подорожают на 20% уже в этом месяце. Из-за высокого спроса сильнее всего цены растут на металлические изделия, отмечают участники рынка. @bankrollo",economy,7
Строительные материалы взлетят в цене на 20% уже в этом месяце. Из-за высокого спроса больше всего подорожают металлические изделия. @banksta,economy,7
"Ушедший из России автопроизводитель Hyundai планирует ввести платную подписку на функции автомобилей, в том числе подогрев сидений. По подписке на уровне Pro будут представлены расширенные услуги, включая платежи в автомобиле.. По словам главы Hyundai Connected Mobility Маркуса Вельца, компания хочет внедрить систему с более персонализированным сервисом. https://t.me/banksta/36981",economy,8
"Hyundai планирует ввести платную подписку на некоторые функции автомобилей, пишет портал «Автоновости дня». К дополнительным опциям за отдельную плату отнесут в том числе подогрев сидений. По словам главы Hyundai Connected Mobility Маркуса Вельца, компания хочет внедрить систему Features-on-Demand, она позволит сделать функционал машин более персонализированным. @bankrollo",economy,8
"Цены на пшеницу резко взлетели до максимума с августа 2023 года из-за заморозков в России. Показатель на Чикагской товарной бирже вырос до $6,6 за бушель. Котировки начали расти, поскольку риски неурожая «пугают» трейдеров, пишет Bloomberg. @bankrollo",economy,9
"Цены на пшеницу резко взлетели до максимума с августа 2023 года из-за заморозков в России, пишет Bloomberg. @banksta",economy,9
"Маврикий ведет работу над внедрением карт российской платежной системы ""Мир"", заявил посол РФ в стране Константин Климовский. @banksta",economy,10
"Власти Маврикия работают над внедрением карт российской платёжной системы «Мир», заявил посол России в стране Константин Климовский. Также, по его словам, Аэрофлот может возобновить полёты на остров уже в октябре-ноябре. @bankrollo",economy,10
"В России власти хотят устроить охоту на частных майнеров. Превышение показателей электроэнергии в квартирах они планируют выявлять дистанционно через счётчики, сравнивая заявленный расход с фактическим. В случае нарушения назначать штрафы, а расчёт будет сделан по более высокому тарифу, как для промышленных предприятий. Такое предложение Экспертный совет при Правительстве направит в кабмин, узнали Известия. @bankrollo",economy,11
"В России могут начать охоту на частных майнеров. Превышение показателей электроэнергии в квартирах планируют выявлять дистанционно через счётчики, сравнивая заявленный расход с фактическим. В случае нарушения назначат штрафы. Расчёт будет сделан по более высокому тарифу, как для промышленных предприятий. Такое предложение разрабатывает Экспертный совет при Правительстве. @banksta",economy,11
"Дешевой ипотеки не будет еще полтора года, считают аналитики из IRN. Приемлемыми для ипотечников являются ставки не выше 12% годовых, которые возможны при ключевой ниже 10%. Аналитики предполагают, что ипотека может вернуться в 2026 году, когда ключевая ставка, согласно ожиданиям ЦБ, опустится до 6-7%. @banksta",economy,12
"Россиянам придётся подождать ещё полтора года, чтобы ипотека в России стала доступной, считают аналитики из IRN. Приемлемыми для ипотечников являются ставки не выше 12% годовых, которые возможны при ключевой ниже 10%. Аналитики предполагают, что нормальная ипотека может вернуться в 2026 году, когда ключевая ставка, согласно ожиданиям ЦБ, опустится до 6-7%. «Но это не точно», — добавляют эксперты. @bankrollo",economy,12
"Турция намерена ввести налоги и полное регулирование криптоактивов. Криптовалюты будут переданы под надзор Совета по рынку капитала, а сделки будут облагаться налогом. Помимо этого будут введены правила лицензирования торговых площадок, бирж и брокеров, отношений между клиентами и этими площадками. Будет разработан регламент штрафов, санкций и решения споров. @banksta",economy,13
"Турция планирует ввести налоги и полное регулирование криптоактивов. Согласно законопроекту, который поступит в парламент на следующей неделе, криптовалюты будут переданы под надзор Совета по рынку капитала, а сделки будут облагаться налогом. Кроме того, будет разработан регламент штрафов, санкций и решения споров. Также будут введены правила лицензирования торговых площадок, брокеров и отношений между ними и клиентами. Авторы законопроекта рассчитывают, что это даст стимул к развитию ПО для блокчейна в стране. @bankrollo",economy,13
"Аренда однушек в России подорожала на 32% за год. Лидером по росту стал Красноярск (+54% за год), в Москве цены выросли на 22%, отмечают аналитики. @bankrollo",economy,14
"Стоимость аренды однокомнатных квартир в России за год выросла на 32%. Лидером по росту стал Красноярск (+54% за год), в Москве цены выросли на 22%, посчитали «Этажи». Причиной роста называют дефицит предложения на рынке, особенно в бюджетном сегменте. @banksta",economy,14
"Итальянские власти за два года потратили около €32 млн на обслуживание семи арестованных яхт российских олигархов. Все расходы на техобслуживание, включая плату за стоянку, легли на плечи Минфина, сообщает France 24. Рим хочет окончательно конфисковать яхты и перепродать, хотя юридически они принадлежат прежним владельцам. @banksta",economy,15
"Власти Италии за два года потратили около €32 млн (более 3,1 млрд рублей) на обслуживание арестованных яхт российских олигархов. Все расходы на техобслуживание, включая плату за стоянку, легли на плечи Минфина. Теперь Рим хочет окончательно конфисковать яхты и перепродать, однако юридически они принадлежат прежним владельцам. @bankrollo",economy,15
"Шульгинов покинет пост министра энергетики, сообщили источники РБК. Новым главой Минэнерго может стать губернатор Кемеровской области Сергей Цивилев. @bankrollo",economy,16
"Николай Шульгинов покинет пост министра энергетики, сообщили источники РБК. В числе кандидатов на должность главы Минэнерго губернатор Кемеровской области Сергей Цивилев. @banksta",economy,16
"Американский венчурный фонд Pantera Capital сообщил, что вложил в TON рекордную для компании сумму денег. Ранее Pantera Capital инвестировал в Solana более $250 млн. @banksta",economy,17
"TON прыгнул выше $7 после новостей о том, что американский венчурный фонд Pantera Capital вложил в TON рекордную для компании сумму денег. @bankrollo",economy,17
"Лукашенко заявил, что доллар и евро «никому не нужны во многих странах». Актуальность доллара упала после разговоров о том, что у России «украдут золотовалютные резервы», объяснил президент Беларуси. @bankrollo",economy,18
"Интерес многих стран в мире к евро и доллару постепенно снижается, заявил президент Белоруссии Александр Лукашенко.«Для нас, как и для всего мира, что евро, что доллар — одно и то же. Ну, было, до санкций. Сейчас ни доллар, ни евро никому не нужны. И это уже не только в Беларуси и России. Это во многих странах», — сказал он.. Такая тенденция, по словам белорусского президента, начала развиваться «особенно после разговоров о том, что у России украдут золотовалютные резервы, активы, которые они хранили на Западе». @banksta",economy,18
"Квартиры в России продолжили дорожать — Росстат. Цена выросла во всех сегментах, кроме элитного жилья на вторичном рынке. За год средняя стоимость 1 кв. м. в новостройках выросла на 25%, вторичка подорожала на 17%. @bankrollo",economy,19
"Квартиры продолжили дорожать. По данным Росстата, цена выросла во всех сегментах, кроме элитного жилья на вторичном рынке. За год средняя стоимость одного квадратного метра в новостройках выросла на 25%, вторичка подорожала на 17%. @banksta",economy,19
"В мозге Роберта Кеннеди-младшего нашли мёртвого паразита, который мог съесть часть его мозга — New York Times. Кеннеди-младший собирался баллотироваться на выборах президента США. @bankrollo",society,20
"В мозге Роберта Кеннеди-младшего, который собирается баллотироваться на выборах президента США 2024 года, нашли мертвого паразита, который мог съесть часть его мозга —The New York Times. @banksta",society,20
"Перед въездом в Китай у туристов будут проверять телефоны и ноутбуки, в том числе переписку и фотогалерею. Эти правила начнут действовать с июля. @banksta",economy,21
У туристов на въезде в Китай будут проверять мобильные телефоны и компьютеры — Министерство госбезопасности Китая. Новые правила начнут действовать с 1 июля. @bankrollo,economy,21
"Высокая ключевая ставка в России пока сохранится. Она снизится до 6-7% только к 2027 году, спрогнозировал исполняющий обязанности первого вице-премьера Белоусов. @bankrollo",economy,22
"Ключевая ставка в России пока сохранится высокой, снижаясь до 6-7% только к 2027 году, заявил и.о. первого вице-премьера Андрей Белоусов. @banksta",economy,22
"Банки хотят обязать согласовывать кредиты и денежные переводы клиентов с их родственниками, чтобы предотвратить мошенничество. Такой законопроект Госдума может принять уже в весеннюю сессию, узнали Известия. Доверенное лицо в течение 12 часов должно будет подтвердить или отклонить операцию. Инициативу поддерживают в ЦБ. @bankrollo",economy,23
"Госдума в весеннюю сессию может принять законопроект, который обяжет банки согласовывать кредиты и денежные переводы клиентов с их родственниками, чтобы предотвратить мошенничество. Доверенное лицо в течение 12 часов должно подтвердить или отклонить операцию. В ЦБ поддерживают инициативу, отмечая, что новый механизм защиты будет востребован среди социально уязвимых групп населения и их близких людей. @banksta",economy,23
"Объём кредитов наличными под залог имущества вырос за три месяца на 28%, достигнув в первом квартале 63,32 млрд рублей. Залог позволяет банкам выполнять требования ЦБ — более низкая ставка и увеличившиеся сроки кредитов снижают темпы роста долговой нагрузки заемщиков. Но длительные сроки кредитов увеличивают риски снижения ликвидности залогов, предупреждают эксперты. @bankrollo",economy,24
"Кредиты наличными под залог имущества выросли за три месяца на 28%, достигнув в первом квартале 63,32 млрд рублей. Залог позволяет банкам выполнять требования ЦБ — более низкая ставка и увеличившиеся сроки кредитов снижают темпы роста долговой нагрузки заемщиков. @banksta",economy,24
"Представителям Binance в Нигерии предлагали «решить вопросы» с работой криптобиржи в стране за $150 млн в криптовалюте — The New York Times. Власти Нигерии объявили деятельность криптобирж в стране незаконной, а когда делегация Binance прибыла договариваться, двоих сотрудников арестовали, забрали у них документы, после чего предложили сделку. @bankrollo",economy,25
"Криптобирже Binance в Нигерии предлагали «решить вопросы» с уголовным делом криптобиржи за $150 млн в криптовалюте, пишет The New York Times. Власти Нигерии объявили деятельность криптобирж в стране незаконной, двоих сотрудников арестовали. https://t.me/banksta/51304",economy,25
"С начала года более 3,2 млн клиентов Сбера оплатили свои покупки улыбкой, через сервис Sber. Pay. Умная система банка с легкость распознает уникальные черты лица клиента и, убедившись, что это точно он подтверждает оплату. В Сбере отмечают, что банк не хранит фотографии клиентов, а все данные преобразует в безопасный цифровой код. @bankrollo",economy,26
"Сбер выпустил ролик про сервис «Оплата улыбкой» со Sber. Pay — с начала года им воспользовались уже свыше 3,2 млн раз. При этом, как отметили в банке, оплата с помощью биометрии абсолютно безопасна: фотографии клиентов никто не хранит, а данные преобразованы в цифровой код. Сама система подтверждает оплату лишь в том случае, если узнает уникальные черты лица клиента: в маске или по фото таким образом оплатить не получится. @banksta",economy,26
"❗️Завод Toyota в Санкт-Петербурге передан бренду Aurus. Ранее в Петербурге было остановлено производство на автомобильном кластере, где собирали модели Toyota, Hyundai, Nissan и Kia, но об окончании своей деятельности тогда не заявлялось. Производство на заводе будет запущено до конца года.",economy,27
Завод Toyota в Санкт-Петербурге передан Aurus. Производство Aurus будет запущено до конца года. @banksta,economy,27
"Бывший завод Toyota в Петербурге передали производителю отечественных машин Aurus. Выпуск российских автомобилей на заводе будет запущен до конца года, пообещали в Минпромторге. @bankrollo",economy,27
Владимир Путин принёс присягу и официально вступил в должность президента России на шестилетний срок. Он назвал свое президентство «священным долгом».. Правительство России в полном составе ушло в отставку. @banksta,economy,28
Путин принёс присягу и официально вступил в должность президента России на шестилетний срок. @bankrollo,economy,28
"Уоррен Баффет накопил рекордные $189 млрд наличными. Каждый раз, когда он накапливает крупные суммы денег по мере того, как ФРС повышает ставки, в течение следующих 12 месяцев происходит грандиозный обвал акций, отмечают аналитики. Это было в 2000, 2008 и в 2020 годах. @bankrollo",economy,29
"Миллиардер Уоррен Баффет накопил 188 миллиардов долларов. Каждый раз, когда он накапливает рекордные суммы, а ФРС повышает ставки, в течение следующих 12 месяцев происходит грандиозный обвал стоимости акций. Так было в 2000, 2008, 2020 годах. @banksta",economy,29
"В России ускорилось снижение цен на вторичку, в Москве квартиры подешевели впервые с апреля 2023 года. За апрель цены упали в 14 из 50 крупных городов, в марте их было всего 5. Сильнее всего цены упали в Рязани — 1,51%, до 92,7 тысяч рублей за квадратный метр, и Владивостоке — 1,11%, до 171,4 тысяч руб. за 1 кв. м. В Москве цена на вторичное жильё снизилась на 0,23%, до 325 тысяч рублей. @bankrollo",economy,30
"В России ускорилось снижение цен на вторичку, в Москве квартиры подешевели впервые с апреля 2023 года. За апрель цены упали в 14 из 50 крупных городов, в марте их было всего 5. В Москве цена на вторичное жильё снизилась на 0,23%, до 325 тысяч рублей. @banksta",economy,30
"❗️Совет председателей Генассамблеи ООН призвал к запуску мирного процесса по решению конфликта на Украине на основе Стамбульского соглашения от 2022 года, которое предусматривает нейтральность Украины. Об этом сказано в декларации, принятой по итогам встречи совета в Катаре.",society,31
"Совет председателей Генассамблеи ООН призвал к запуску мирного процесса по решению конфликта на территории Украины на основе Стамбульского соглашения от 2022 года, которое предусматривает нейтральность Украины, говорится в декларации, принятой по итогам встречи Совета в Катаре. @banksta",economy,31
"Сенатор Элизабет Уоррен заявила, что использование криптовалют для обхода санкций Россией и Ираном угрожает национальной безопасности США. Она утверждает, что Иран «получил миллионы долларов» благодаря майнингу. @banksta",economy,32
"Использование криптовалют для обхода санкций Россией и Ираном угрожает национальной безопасности США, заявила сенатор Элизабет Уоррен. Она утверждает, что Иран «получил миллионы долларов» благодаря майнингу. @bankrollo",economy,32
"«Райффайзен» все-таки сворачивается: летом материнская компания Raiffeisen Bank International начнет существенно сокращать бизнес в России.. Российских клиентов банка ждет почти полная остановка кредитования. Банк будет ждать погашения уже выданных ссуд, а новые станет выдавать только «за несколькими исключениями».",technology,33
"Raiffeisen Bank International в третьем квартале 2024 года начнет выполнять предписание ЕЦБ о существенном сокращении бизнеса в России, сообщил глава группы Йоханн Штробль.. По его словам, речь идет почти о полной остановке кредитования - банк будет ждать погашения уже выданных ссуд и не выдавать новые ""за несколькими исключениями"". @banksta",economy,33
"В Омске нашли майнинговую ферму на ТЭЦ. На режимном объекте обнаружили два контейнера со специальными майнинговыми устройствами, которые потребляют энергию на миллионы рублей в месяц. На ТЭЦ заявили, что майнинг-ферма просто хранились. @banksta",economy,34
"В Омске нашли майнинговую ферму прямо на ТЭЦ, сообщил член Общественной палаты Владимир Лифантьев. По его словам, на режимном объекте обнаружили два контейнера со специальными майнинговыми устройствами, которые потребляют энергию на миллионы рублей в месяц. Сколько фермы работали — неизвестно. На ТЭЦ заявили, что майнинг-ферма находилась на их территории только «на хранении». @bankrollo",economy,34
"Чистый убыток Газпрома за 2023 год составил 629 млрд рублей против прибыли 1,226 трлн рублей годом ранее. После публикации отчётности акции компании резко обвалились на 5%. @bankrollo",economy,35
«Газпром» отчитался о первом с 1999 года чистом убытке. «Газпром» получил чистый убыток за 2023 год в размере 629 млрд рублей. Акции компании тут же обвалились на 5%. @banksta,economy,35
"ФРС США шестой раз подряд сохранила ключевую ставку на уровне 5,25-5,50%. Это максимум с 2001 года. @bankrollo",economy,36
"ФРС США в шестой раз подряд сохранила базовую процентную ставку на уровне 5,25-5,5% годовых. @banksta",economy,36
"Ключевая ставка в России не упадет ниже 10% до 2026 года из-за высоких ставок в США, пишет Bloomberg. @banksta",economy,37
"ЦБ России не опустит ставку ниже 10% до 2026 года из-за высоких ставок в США, пишет Bloomberg. @bankrollo",economy,37
"Европейские банки Raiffeisen Bank International, Uni. Credit, ING, Commerzbank, Deutsche Bank, Intesa Sanpaolo и OTP отчитались о совокупной прибыли в России в размере более €3 млрд за прошлый год, перечислив в российский бюджет около €800 млн в 2023 году. Это в три раза больше, чем за 2021 год.. Больше половины отчислений приходится на австрийскую банковскую группу Raiffeisen Bank International. С 2021 по 2023 год прибыль RBI в России выросла более чем втрое, до €1,8 млрд. @banksta",economy,38
"Крупнейшие европейские банки, оставшиеся в России, уплатили в 2023 году более €800 млн налогов в российский бюджет. Это в четыре раза больше, чем до начала СВО, пишет Financial Times. Больше половины отчислений приходится на Raiffeisen Bank International. С 2021 по 2023 год прибыль RBI в России выросла более чем втрое, до €1,8 млрд. @bankrollo",economy,38
